,ngram,count,sentence_index,sentences
29,"('let', 'say')",6,"{(2, 126), (2, 116), (2, 118), (2, 121), (2, 82), (2, 124)}","{""And let it be said that we are the party of open, honest government that doesn't peddle the agenda of whichever lobbyist or special interest can write the biggest check."", ""Now, let me say this - I don't think that George Bush is a bad man."", 'Let it be said that we are the party of affordable, accessible health care for all Americans.', 'Let it be said that we are the party of an energy independent America.', 'So let it be said that we are the party of opportunity.', 'Let it be said that we will conduct a smart foreign policy that battles the forces of terrorism and fundamentalism wherever they may exist by matching the might of our military with the power of our diplomacy and the strength of our alliances.'}"
9,"('george', 'bush')",6,"{(1, 28), (1, 137), (1, 14), (1, 61), (1, 29), (1, 22)}","{'Because next week, in Minnesota, the same party that brought you two terms of George Bush and Dick Cheney will ask this country for a third.', 'Senator McCain likes to talk about judgment, but really, what does it say about your judgment when you think George Bush has been right more than ninety percent of the time?', ""But the record's clear: John McCain has voted with George Bush ninety percent of the time."", 'But the failure to respond is a direct result of a broken politics in Washington and the failed policies of George W. Bush.', 'We measure progress in the 23 million new jobs that were created when Bill Clinton was President - when the average American family saw its income go up $7,500 instead of down $2,000 like it has under George Bush.', 'If John McCain wants to follow George Bush with more tough talk and bad strategy, that is his choice - but it is not the change we need.'}"
10,"('health', 'care')",6,"{(1, 31), (1, 195), (1, 111), (1, 110), (1, 52), (1, 45)}","{""How else could he offer a health care plan that would actually tax people's benefits, or an education plan that would do nothing to help families pay for college, or a plan that would privatize Social Security and gamble your retirement?"", 'Now is the time to finally keep the promise of affordable, accessible health care for every single American.', ""I've seen it in Illinois, when we provided health care to more children and moved more families from welfare to work."", 'No health care?', 'If you have health care, my plan will lower your premiums.', 'The truth is, on issue after issue that would make a difference in your lives - on health care and education and the economy - Senator McCain has been anything but independent.'}"
11,"('keep', 'promise')",6,"{(1, 75), (1, 110), (1, 116), (1, 125), (1, 109), (1, 224)}","{'Now is the time to finally keep the promise of affordable, accessible health care for every single American.', ""And just as we keep our keep our promise to the next generation here at home, so must we keep America's promise abroad."", 'Let us keep that promise - that American promise - and in the words of Scripture hold firmly, without wavering, to the hope that we confess.', ""And now is the time to keep the promise of equal pay for an equal day's work, because I want my daughters to have exactly the same opportunities as your sons."", 'And we will keep our promise to every young American - if you commit to serving your community or your country, we will make sure you can afford a college education.', 'And it is on their behalf that I intend to win this election and keep our promise alive as President of the United States.'}"
46,"('american', 'people')",6,"{(4, 61), (4, 9), (4, 14), (4, 11), (4, 17), (4, 181)}","{'and that is the loss of our government’s credibility with the American people.', 'the American people have determined that all these phrases have become meaningless in the face of a conflict that grows more deadly and chaotic with each passing day ?', 'A few Tuesdays ago, the American people embraced this seriousness with regards to America’s policy in Iraq.', 'And now, after three long years of watching the same back and forth in Washington, the American people have sent a clear message that the days of using the war on terror as a political football are over.', 'The American people have been extraordinarily resolved.', 'In each case, what has been required to meet the challenges we face has been good judgment and clear vision from our leaders, and a fundamental seriousness and engagement on the part of the American people ?'}"
75,"('cooperative', 'threat', 'reduction')",6,"{(5, 15), (5, 66), (5, 23), (5, 77), (5, 48), (5, 2)}","{'We must safeguard these dangerous weapons, material, and expertise. .\nOne way we could strengthen this relationship is by thinking about the Russians as more of a partner and less of a subordinate in the Cooperative Threat Reduction effort.', 'And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.', 'We also need to ensure that the Cooperative Threat Reduction umbrella agreement, due to expire in 2006, is renewed in a timely manner.', 'Fortunately, the success of Cooperative Threat Reduction - especially in securing nuclear weapons - serves as a model of how we can do this.', ""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.'}"
47,"('international', 'terrorism')",5,"{(4, 167), (4, 12), (4, 57), (4, 149), (4, 146)}","{'Americans were originally persuaded by the President to go to war in part because of the threat of weapons of mass destruction, and in part because they were told that it would help reduce the threat of international terrorism.', 'As we change strategy in Iraq, we should also think about what Iraq has taught us about America’s strategy in the wider struggle against rogue threats and international terrorism.', 'We should also make it clear that, even after we begin to drawdown forces, we will still work with our allies in the region to combat international terrorism and prevent the spread of weapons of mass destruction.', 'Rather, the question is what strategies, imperfect though they may be, are most likely to achieve the best outcome in Iraq, one that will ultimately put us on a more effective course to deal with international terrorism, nuclear proliferation, and other critical threats to our security.', 'The final lesson is that in an interconnected world, the defeat of international terrorism ?'}"
13,"('senator', 'mccain')",5,"{(1, 41), (1, 31), (1, 127), (1, 95), (1, 29)}","{'And today, we import triple the amount of oil as the day that Senator McCain took office.', 'Senator McCain likes to talk about judgment, but really, what does it say about your judgment when you think George Bush has been right more than ninety percent of the time?', ""Now, I don't believe that Senator McCain doesn't care what's going on in the lives of Americans."", 'The truth is, on issue after issue that would make a difference in your lives - on health care and education and the economy - Senator McCain has been anything but independent.', 'For while Senator McCain was turning his sights to Iraq just days after 9/11, I stood up and opposed this war, knowing that it would distract us from the real threats we face.'}"
12,"('change', 'need')",5,"{(1, 192), (1, 137), (1, 85), (1, 188), (1, 27)}","{""And next week, we'll also hear about those occasions when he's broken with his party as evidence that he can deliver the change that we need."", 'I believe that as hard as it will be, the change we need is coming.', ""That's the change we need right now."", ""You have shown what history teaches us - that at defining moments like this one, the change we need doesn't come from Washington."", 'If John McCain wants to follow George Bush with more tough talk and bad strategy, that is his choice - but it is not the change we need.'}"
48,"('american', 'troop')",5,"{(4, 103), (4, 35), (4, 21), (4, 44), (4, 43)}","{'300,000 Iraqi security forces have supposedly been recruited and trained over the last two years, and yet American troop levels have not been reduced by a single soldier.', 'Iraq is descending into chaos based on ethnic divisions that were around long before American troops arrived.', 'Moreover, it could be suspended if at any point U.S. commanders believe that a further reduction would put American troops in danger.', 'When I came here and gave a speech on this war a year ago, I suggested that we begin to move towards a phased redeployment of American troops from Iraqi soil.', 'The addition of 4,000 American troops in Baghdad has not succeeded in securing that increasingly perilous city.'}"
79,"('biological', 'weapon')",4,"{(5, 49), (5, 37), (5, 4), (5, 22)}","{'And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come.', 'This is a city of two and a half million, and in a non-descript building right in the middle of town stood this facility that once operated on the fringes of the Soviet biological weapons program.', 'But because of the size, secrecy, and scope of the Soviet biological weapons program, we are still dangerously behind in dealing with this proliferation threat.', 'I want to turn to a second critical area: biological weapons threat reduction programs.'}"
49,"('weapon', 'mass')",4,"{(4, 146), (4, 29), (4, 12), (4, 168)}","{'We should also make it clear that, even after we begin to drawdown forces, we will still work with our allies in the region to combat international terrorism and prevent the spread of weapons of mass destruction.', 'and most importantly, the prevention of these terrorist organizations from obtaining weapons of mass destruction -- will require the cooperation of many nations.', 'I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.', 'Americans were originally persuaded by the President to go to war in part because of the threat of weapons of mass destruction, and in part because they were told that it would help reduce the threat of international terrorism.'}"
53,"('war', 'iraq')",4,"{(4, 150), (4, 107), (4, 29), (4, 24)}","{'And a report by our own intelligence agencies has concluded that al Qaeda is successfully using the war in Iraq to recruit a new generation of terrorists for its war on America.', 'Many who supported the original decision to go to war in Iraq have argued that it has been a failure of implementation.', 'I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.', 'The President’s decision to go to war in Iraq has had disastrous consequences for Afghanistan -- we have seen a fierce Taliban offensive, a spike in terrorist attacks, and a narcotrafficking problem spiral out of control.'}"
50,"('mass', 'destruction')",4,"{(4, 146), (4, 29), (4, 12), (4, 168)}","{'We should also make it clear that, even after we begin to drawdown forces, we will still work with our allies in the region to combat international terrorism and prevent the spread of weapons of mass destruction.', 'and most importantly, the prevention of these terrorist organizations from obtaining weapons of mass destruction -- will require the cooperation of many nations.', 'I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.', 'Americans were originally persuaded by the President to go to war in part because of the threat of weapons of mass destruction, and in part because they were told that it would help reduce the threat of international terrorism.'}"
51,"('weapon', 'mass', 'destruction')",4,"{(4, 146), (4, 29), (4, 12), (4, 168)}","{'We should also make it clear that, even after we begin to drawdown forces, we will still work with our allies in the region to combat international terrorism and prevent the spread of weapons of mass destruction.', 'and most importantly, the prevention of these terrorist organizations from obtaining weapons of mass destruction -- will require the cooperation of many nations.', 'I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.', 'Americans were originally persuaded by the President to go to war in part because of the threat of weapons of mass destruction, and in part because they were told that it would help reduce the threat of international terrorism.'}"
52,"('al', 'qaeda')",4,"{(4, 105), (4, 178), (4, 29), (4, 24)}","{'And a report by our own intelligence agencies has concluded that al Qaeda is successfully using the war in Iraq to recruit a new generation of terrorists for its war on America.', 'This force could help prevent the conflict in Iraq from becoming a wider war, consolidate gains in Northern Iraq, reassure allies in the Gulf, allow our troops to strike directly at al Qaeda wherever it may exist, and demonstrate to international terrorist organizations that they have not driven us from the region.', 'In my travels to Africa, I have seen weak governments and broken societies that can be exploited by al Qaeda.', 'I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.'}"
54,"('phased', 'redeployment')",4,"{(4, 110), (4, 90), (4, 91), (4, 93)}","{'As a phased redeployment is executed, the majority of the U.S. troops remaining in Iraq should be dedicated to the critical, but less visible roles, of protecting logistics supply points, critical infrastructure, and American enclaves like the Green Zone, as well as acting as a rapid reaction force to respond to emergencies and go after terrorists.', 'For only through this phased redeployment can we send a clear message to the Iraqi factions that the U.S. is not going to hold together this country indefinitely ?', 'When I first advocated steps along these lines over a year ago, I had hoped that this phased redeployment could begin by the end of 2006.', 'a phased redeployment of U.S. troops from Iraq on a timetable that would begin in four to six months.'}"
78,"('threat', 'reduction', 'program')",4,"{(5, 48), (5, 15), (5, 37), (5, 2)}","{""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'I want to turn to a second critical area: biological weapons threat reduction programs.', 'Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.', 'And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.'}"
31,"('say', 'party')",4,"{(2, 121), (2, 116), (2, 118), (2, 126)}","{'So let it be said that we are the party of opportunity.', 'Let it be said that we are the party of affordable, accessible health care for all Americans.', ""And let it be said that we are the party of open, honest government that doesn't peddle the agenda of whichever lobbyist or special interest can write the biggest check."", 'Let it be said that we are the party of an energy independent America.'}"
77,"('reduction', 'program')",4,"{(5, 48), (5, 15), (5, 37), (5, 2)}","{""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'I want to turn to a second critical area: biological weapons threat reduction programs.', 'Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.', 'And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.'}"
32,"('let', 'say', 'party')",4,"{(2, 121), (2, 116), (2, 118), (2, 126)}","{'So let it be said that we are the party of opportunity.', 'Let it be said that we are the party of affordable, accessible health care for all Americans.', ""And let it be said that we are the party of open, honest government that doesn't peddle the agenda of whichever lobbyist or special interest can write the biggest check."", 'Let it be said that we are the party of an energy independent America.'}"
41,"('african', 'nation')",4,"{(3, 40), (3, 37), (3, 53), (3, 32)}","{'Among African nations, Kenya remains a model for representative democracy - a place where many different ethnic factions have found a way to live and work together in peace and stability.', 'As a result, many African nations have been asked to liberalize their markets without reciprocal concessions from mature economies.', 'Kenya, like many African nations did not come of age under the best historical circumstances.', 'When African nations were just gaining independence, industrialized nations had decades of experience building their domestic economies and navigating the international financial system.'}"
30,"('go', 'keep')",4,"{(2, 45)}","{""Who said we're going to keep on dreaming, and we're going to keep on building, and we're going to keep on marching, and we're going to keep on working because that's who we are.""}"
3,"('tell', 'us')",4,"{(0, 119), (0, 120), (0, 121), (0, 123)}","{'He tells us that there is power in words.', 'He tells us that there is power in hope.', 'But the life of a tall, gangly, self-made Springfield lawyer tells us that a different future is possible.', 'He tells us that there is power in conviction.'}"
15,"('american', 'promise')",4,"{(1, 204), (1, 9), (1, 21), (1, 224)}","{'Instead, it is that American spirit - that American promise - that pushes us forward even when the path is uncertain; that binds us together in spite of our differences; that makes us fix our eye not on what is seen, but what is unseen, that better place around the bend.', 'We meet at one of those defining moments - a moment when our nation is at war, our economy is in turmoil, and the American promise has been threatened once more.', 'This moment - this election - is our chance to keep, in the 21st century, the American promise alive.', 'Let us keep that promise - that American promise - and in the words of Scripture hold firmly, without wavering, to the hope that we confess.'}"
14,"('men', 'woman')",4,"{(1, 208), (1, 8), (1, 66), (1, 156)}","{'When I listen to another worker tell me that his factory has shut down, I remember all those men and women on the South Side of Chicago who I stood by and fought for two decades ago after the local steel plant closed.', 'The men and women who serve in our battlefields may be Democrats and Republicans and Independents, but they have fought together and bled together and some died together under the same proud flag.', ""The men and women who gathered there could've heard many things."", 'Because for two hundred and thirty two years, at each moment when that promise was in jeopardy, ordinary men and women - students and soldiers, farmers and teachers, nurses and janitors -- found the courage to keep it alive.'}"
16,"('america', 'promise')",4,"{(1, 124), (1, 119), (1, 125), (1, 169)}","{""And Democrats, we must also admit that fulfilling America's promise will require more than just money."", ""Individual responsibility and mutual responsibility - that's the essence of America's promise."", ""This too is part of America's promise - the promise of a democracy where we can find the strength and grace to bridge divides and unite in common effort."", ""And just as we keep our keep our promise to the next generation here at home, so must we keep America's promise abroad.""}"
2,"('health', 'care')",4,"{(0, 85), (0, 53), (0, 83), (0, 129)}","{""Let's be the generation that finally tackles our health care crisis."", ""For the last six years we've been told that our mounting debts don't matter, we've been told that the anxiety Americans feel about rising health care costs and stagnant wages are an illusion, we've been told that climate change is a hoax, and that tough talk and an ill-conceived war can replace diplomacy, and strategy, and foresight."", 'I want to win that next battle - for better schools, and better jobs, and health care for all.', ""Let's be the generation that says right here, right now, that we will have universal health care in America by the end of the next president's first term.""}"
4,"('one', 'people')",3,"{(0, 46), (0, 122), (0, 5)}","{'That beneath all the differences of race and region, faith and station, we are one people.', 'It is because men and women of every race, from every walk of life, continued to march for freedom long after Lincoln was laid to rest, that today we have the chance to face the challenges of this millennium together, as one people - as Americans.', ""In the face of a politics that's shut you out, that's told you to settle, that's divided us for too long, you believe we can be one people, reaching for what's possible, building that more perfect union.""}"
60,"('iraq', 'would')",3,"{(4, 28), (4, 29), (4, 115)}","{'We would make clear in such a scenario that the United States would not be maintaining permanent military bases in Iraq, but would do what was necessary to help prevent a total collapse of the Iraqi state and further polarization of Iraqi society.', 'The notion that Iraq would quickly and easily become a bulwark of flourishing democracy in the Middle East was not a plan for victory, but an ideological fantasy.', 'I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.'}"
61,"('middle', 'east')",3,"{(4, 71), (4, 28), (4, 136)}","{'namely, preventing Iraq from becoming what Afghanistan once was, maintaining our influence in the Middle East, and forging a political settlement to stop the sectarian violence so that our troops can come home.', 'The notion that Iraq would quickly and easily become a bulwark of flourishing democracy in the Middle East was not a plan for victory, but an ideological fantasy.', 'Finally, we have to realize that the entire Middle East has an enormous stake in the outcome of Iraq, and we must engage neighboring countries in finding a solution.'}"
62,"('year', 'ago')",3,"{(4, 189), (4, 91), (4, 35)}","{'I spoke here a year ago and delivered a message about Iraq that was similar to the one I did today.', 'When I came here and gave a speech on this war a year ago, I suggested that we begin to move towards a phased redeployment of American troops from Iraqi soil.', 'When I first advocated steps along these lines over a year ago, I had hoped that this phased redeployment could begin by the end of 2006.'}"
